classification,Trades,Avg_PnL,Total_PnL,Win_Rate
Extreme Fear,21400,34.53786207897196,739110.24849,37.0607476635514
Extreme Greed,39992,67.89286133909282,2715171.310673,46.49429885977195
Fear,61837,54.2903996254993,3357155.441642,42.07675016575836
Greed,50303,42.74355948851957,2150129.272951,38.48279426674354
Neutral,37686,34.30771839807886,1292920.67555,39.69909250119408
